#p	o1_up	o1_dn	o2_up	o2_dn	o3_up	o3_dn	NaN
177	9.640105	9.640105	7.280210	7.280210	-2.598950	-2.598950	
178	9.663110	9.663110	7.326220	7.326220	-2.368899	-2.368899	
179	9.686318	9.686318	7.372637	7.372637	-2.136817	-2.136817	
180	9.709715	9.709715	7.419431	7.419431	-1.902847	-1.902847	
181	9.733287	9.733287	7.466574	7.466574	-1.667128	-1.667128	
182	9.757020	9.757020	7.514040	7.514040	-1.429802	-1.429802	
183	9.780899	9.780899	7.561798	7.561798	-1.191012	-1.191012	
184	9.804910	9.804910	7.609819	7.609819	-0.950903	-0.950903	
185	9.829038	9.829038	7.658076	7.658076	-0.709619	-0.709619	
186	9.853270	9.853270	7.706539	7.706539	-0.467305	-0.467305	
187	9.877589	9.877589	7.755179	7.755179	-0.224107	-0.224107	
188	9.901983	9.901983	7.803966	7.803966	0.019829	0.019829	
189	9.926435	9.926435	7.852871	7.852871	0.264354	0.264354	
190	9.950932	9.950932	7.901865	7.901865	0.509323	0.509323	
191	9.975459	9.975459	7.950918	7.950918	0.754588	0.754588	
192	10.000000	10.000000	8.000000	8.000000	1.000000	1.000000	
193	10.024541	10.024541	8.049082	8.049082	1.245412	1.245412	
194	10.049068	10.049068	8.098135	8.098135	1.490677	1.490677	
195	10.073565	10.073565	8.147129	8.147129	1.735646	1.735646	
196	10.098017	10.098017	8.196034	8.196034	1.980171	1.980171	
197	10.122411	10.122411	8.244821	8.244821	2.224107	2.224107	
198	10.146730	10.146730	8.293461	8.293461	2.467305	2.467305	
199	10.170962	10.170962	8.341924	8.341924	2.709619	2.709619	
200	10.195090	10.195090	8.390181	8.390181	2.950903	2.950903	
201	10.219101	10.219101	8.438202	8.438202	3.191012	3.191012	
202	10.242980	10.242980	8.485960	8.485960	3.429802	3.429802	
203	10.266713	10.266713	8.533426	8.533426	3.667128	3.667128	
204	10.290285	10.290285	8.580569	8.580569	3.902847	3.902847	
205	10.313682	10.313682	8.627363	8.627363	4.136817	4.136817	
206	10.336890	10.336890	8.673780	8.673780	4.368899	4.368899	
207	10.359895	10.359895	8.719790	8.719790	4.598950	4.598950	
208	10.382683	10.382683	8.765367	8.765367	4.826834	4.826834	
209	10.405241	10.405241	8.810483	8.810483	5.052413	5.052413	
210	10.427555	10.427555	8.855110	8.855110	5.275551	5.275551	
211	10.449611	10.449611	8.899223	8.899223	5.496113	5.496113	
212	10.471397	10.471397	8.942793	8.942793	5.713967	5.713967	
213	10.492898	10.492898	8.985796	8.985796	5.928982	5.928982	
214	10.514103	10.514103	9.028205	9.028205	6.141027	6.141027	
215	10.534998	10.534998	9.069995	9.069995	6.349976	6.349976	
216	10.555570	10.555570	9.111140	9.111140	6.555702	6.555702	
217	10.575808	10.575808	9.151616	9.151616	6.758082	6.758082	
218	10.595699	10.595699	9.191399	9.191399	6.956993	6.956993	
219	10.615232	10.615232	9.230463	9.230463	7.152316	7.152316	
220	10.634393	10.634393	9.268787	9.268787	7.343933	7.343933	
221	10.653173	10.653173	9.306346	9.306346	7.531728	7.531728	
222	10.671559	10.671559	9.343118	9.343118	7.715590	7.715590	
223	10.689541	10.689541	9.379081	9.379081	7.895405	7.895405	
224	10.707107	10.707107	9.414214	9.414214	8.071068	8.071068	
225	10.724247	10.724247	9.448494	9.448494	8.242471	8.242471	
226	10.740951	10.740951	9.481902	9.481902	8.409511	8.409511	
227	10.757209	10.757209	9.514418	9.514418	8.572088	8.572088	
228	10.773010	10.773010	9.546021	9.546021	8.730105	8.730105	
229	10.788346	10.788346	9.576693	9.576693	8.883464	8.883464	
230	10.803208	10.803208	9.606415	9.606415	9.032075	9.032075	
231	10.817585	10.817585	9.635170	9.635170	9.175848	9.175848	
232	10.831470	10.831470	9.662939	9.662939	9.314696	9.314696	
233	10.844854	10.844854	9.689707	9.689707	9.448536	9.448536	
234	10.857729	10.857729	9.715457	9.715457	9.577286	9.577286	
235	10.870087	10.870087	9.740174	9.740174	9.700870	9.700870	
236	10.881921	10.881921	9.819213	9.819213	9.763843	9.763843	
237	10.893224	10.893224	9.932243	9.932243	9.786449	9.786449	
238	10.903989	10.903989	10.039893	10.039893	9.807979	9.807979	
239	10.914210	10.914210	10.142098	10.142098	9.828420	9.828420	
240	10.923880	10.923880	10.238795	10.238795	9.847759	9.847759	
241	10.932993	10.932993	10.329928	10.329928	9.865986	9.865986	
242	10.941544	10.941544	10.415441	10.415441	9.883088	9.883088	
243	10.949528	10.949528	10.495282	10.495282	9.899056	9.899056	
244	10.956940	10.956940	10.569403	10.569403	9.913881	9.913881	
245	10.963776	10.963776	10.637761	10.637761	9.927552	9.927552	
246	10.970031	10.970031	10.700313	10.700313	9.940063	9.940063	
247	10.975702	10.975702	10.757021	10.757021	9.951404	9.951404	
248	10.980785	10.980785	10.807853	10.807853	9.961571	9.961571	
249	10.985278	10.985278	10.852776	10.852776	9.970555	9.970555	
250	10.989177	10.989177	10.891765	10.891765	9.978353	9.978353	
251	10.992480	10.992480	10.924795	10.924795	9.984959	9.984959	
252	10.995185	10.995185	10.951847	10.951847	9.990369	9.990369	
253	10.997290	10.997290	10.972905	10.972905	9.994581	9.994581	
254	10.998795	10.998795	10.987955	10.987955	9.997591	9.997591	
255	10.999699	10.999699	10.996988	10.996988	9.999398	9.999398	
256	11.000000	11.000000	11.000000	11.000000	10.000000	10.000000	
257	10.998614	10.998614	10.994760	10.994760	9.998795	9.998795	
258	10.994454	10.994454	10.979046	10.979046	9.995173	9.995173	
259	10.987513	10.987513	10.952877	10.952877	9.989118	9.989118	
260	10.977776	10.977776	10.916288	10.916288	9.980600	9.980600	
261	10.965225	10.965225	10.869325	10.869325	9.969579	9.969579	
262	10.949837	10.949837	10.812046	10.812046	9.956003	9.956003	
263	10.931584	10.931584	10.744525	10.744525	9.939810	9.939810	
264	10.910431	10.910431	10.666845	10.666845	9.920926	9.920926	
265	10.886341	10.886341	10.579106	10.579106	9.899266	9.899266	
266	10.859270	10.859270	10.481418	10.481418	9.874736	9.874736	
267	10.829171	10.829171	10.373902	10.373902	9.847231	9.847231	
268	10.795992	10.795992	10.256695	10.256695	9.816637	9.816637	
269	10.759678	10.759678	10.129942	10.129942	9.782828	9.782828	
270	10.720168	10.720168	9.993801	9.993801	9.745674	9.745674	
271	10.677399	10.677399	9.848443	9.848443	9.705031	9.705031	
272	10.631304	10.631304	9.694046	9.694046	9.660752	9.660752	
273	10.581813	10.581813	9.612679	9.612679	9.530802	9.530802	
274	10.528853	10.528853	9.560649	9.560649	9.358911	9.358911	
275	10.472348	10.472348	9.504491	9.504491	9.178586	9.178586	
276	10.412222	10.412222	9.444030	9.444030	8.990046	8.990046	
277	10.348393	10.348393	9.379084	9.379084	8.793521	8.793521	
278	10.280780	10.280780	9.309468	9.309468	8.589249	8.589249	
279	10.209301	10.209301	9.234992	9.234992	8.377477	8.377477	
280	10.133872	10.133872	9.155463	9.155463	8.158459	8.158459	
281	10.054409	10.054409	9.070687	9.070687	7.932457	7.932457	
282	9.970827	9.970827	8.980466	8.980466	7.699738	7.699738	
283	9.883042	9.883042	8.884602	8.884602	7.460579	7.460579	
284	9.790970	9.790970	8.782896	8.782896	7.215260	7.215260	
285	9.694529	9.694529	8.675150	8.675150	6.964066	6.964066	
286	9.593635	9.593635	8.561167	8.561167	6.707290	6.707290	
287	9.488210	9.488210	8.440750	8.440750	6.445226	6.445226	
288	9.378175	9.378175	8.313708	8.313708	6.178175	6.178175	
289	9.263454	9.263454	8.179852	8.179852	5.906438	5.906438	
290	9.143976	9.143976	8.038995	8.038995	5.630321	5.630321	
291	9.019670	9.019670	7.890957	7.890957	5.350133	5.350133	
292	8.890471	8.890471	7.735564	7.735564	5.066182	5.066182	
293	8.756316	8.756316	7.572646	7.572646	4.778779	4.778779	
294	8.617148	8.617148	7.402043	7.402043	4.488237	4.488237	
295	8.472914	8.472914	7.223601	7.223601	4.194866	4.194866	
296	8.323566	8.323566	7.037174	7.037174	3.898979	3.898979	
297	8.169062	8.169062	6.842627	6.842627	3.600886	3.600886	
298	8.009365	8.009365	6.639834	6.639834	3.300895	3.300895	
299	7.844445	7.844445	6.428679	6.428679	2.999316	2.999316	
300	7.674276	7.674276	6.209058	6.209058	2.696452	2.696452	
301	7.498844	7.498844	5.980879	5.980879	2.392606	2.392606	
302	7.318135	7.318135	5.744061	5.744061	2.088077	2.088077	
303	7.132149	7.132149	5.498538	5.498538	1.783160	1.783160	
304	6.940889	6.940889	5.244255	5.244255	1.478147	1.478147	
305	6.744367	6.744367	4.981174	4.981174	1.173324	1.173324	
306	6.542605	6.542605	4.709269	4.709269	0.868972	0.868972	
307	6.335631	6.335631	4.428530	4.428530	0.565367	0.565367	
308	6.123483	6.123483	4.138964	4.138964	0.262780	0.262780	
309	5.906206	5.906206	3.840590	3.840590	-0.038525	-0.038525	
310	5.683856	5.683856	3.533447	3.533447	-0.338292	-0.338292	
311	5.456497	5.456497	3.217588	3.217588	-0.636269	-0.636269	
312	5.224201	5.224201	2.893084	2.893084	-0.932214	-0.932214	
313	4.987051	4.987051	2.560022	2.560022	-1.225890	-1.225890	
314	4.745140	4.745140	2.218509	2.218509	-1.517069	-1.517069	
315	4.498567	4.498567	1.868665	1.868665	-1.805533	-1.805533	
316	4.247445	4.247445	1.510630	1.510630	-2.091068	-2.091068	
317	3.991893	3.991893	1.144563	1.144563	-2.373472	-2.373472	
318	3.732040	3.732040	0.770637	0.770637	-2.652551	-2.652551	
319	3.468026	3.468026	0.389046	0.389046	-2.928119	-2.928119	
320	3.200000	3.200000	0.000000	0.000000	-3.200000	-3.200000	
321	2.928119	2.928119	-0.396273	-0.396273	-3.468026	-3.468026	
322	2.652551	2.652551	-0.799529	-0.799529	-3.732040	-3.732040	
323	2.373472	2.373472	-1.209503	-1.209503	-3.991893	-3.991893	
324	2.091068	2.091068	-1.625918	-1.625918	-4.247445	-4.247445	
325	1.805533	1.805533	-2.048477	-2.048477	-4.498567	-4.498567	
326	1.517069	1.517069	-2.476867	-2.476867	-4.745140	-4.745140	
327	1.225890	1.225890	-2.910758	-2.910758	-4.987051	-4.987051	
328	0.932214	0.932214	-3.349807	-3.349807	-5.224201	-5.224201	
329	0.636269	0.636269	-3.793652	-3.793652	-5.456497	-5.456497	
330	0.338292	0.338292	-4.241919	-4.241919	-5.683856	-5.683856	
331	0.038525	0.038525	-4.694218	-4.694218	-5.906206	-5.906206	
332	-0.262780	-0.262780	-5.150146	-5.150146	-6.123483	-6.123483	
333	-0.565367	-0.565367	-5.609285	-5.609285	-6.335631	-6.335631	
334	-0.868972	-0.868972	-6.071206	-6.071206	-6.542605	-6.542605	
335	-1.173324	-1.173324	-6.535467	-6.535467	-6.744367	-6.744367	
336	-1.478147	-1.478147	-6.940889	-6.940889	-7.001615	-7.001615	
337	-1.783160	-1.783160	-7.132149	-7.132149	-7.469184	-7.469184	
338	-2.088077	-2.088077	-7.318135	-7.318135	-7.937702	-7.937702	
339	-2.392606	-2.392606	-7.498844	-7.498844	-8.406683	-8.406683	
340	-2.696452	-2.696452	-7.674276	-7.674276	-8.875637	-8.875637	
341	-2.999316	-2.999316	-7.844445	-7.844445	-9.344063	-9.344063	
342	-3.300895	-3.300895	-8.009365	-8.009365	-9.811454	-9.811454	
343	-3.600886	-3.600886	-8.169062	-8.169062	-10.277297	-10.277297	
344	-3.898979	-3.898979	-8.323566	-8.323566	-10.741073	-10.741073	
345	-4.194866	-4.194866	-8.472914	-8.472914	-11.202262	-11.202262	
346	-4.488237	-4.488237	-8.617148	-8.617148	-11.660335	-11.660335	
347	-4.778779	-4.778779	-8.756316	-8.756316	-12.114765	-12.114765	
348	-5.066182	-5.066182	-8.890471	-8.890471	-12.565022	-12.565022	
349	-5.350133	-5.350133	-9.019670	-9.019670	-13.010574	-13.010574	
350	-5.630321	-5.630321	-9.143976	-9.143976	-13.450892	-13.450892	
351	-5.906438	-5.906438	-9.263454	-9.263454	-13.885446	-13.885446	
352	-6.178175	-6.178175	-9.378175	-9.378175	-14.313708	-14.313708	
353	-6.445226	-6.445226	-9.488210	-9.488210	-14.735156	-14.735156	
354	-6.707290	-6.707290	-9.593635	-9.593635	-15.149269	-15.149269	
355	-6.964066	-6.964066	-9.694529	-9.694529	-15.555533	-15.555533	
356	-7.215260	-7.215260	-9.790970	-9.790970	-15.953438	-15.953438	
357	-7.460579	-7.460579	-9.883042	-9.883042	-16.342483	-16.342483	
358	-7.699738	-7.699738	-9.970827	-9.970827	-16.722175	-16.722175	
359	-7.932457	-7.932457	-10.054409	-10.054409	-17.092027	-17.092027	
360	-8.158459	-8.158459	-10.133872	-10.133872	-17.451564	-17.451564	
361	-8.377477	-8.377477	-10.209301	-10.209301	-17.800322	-17.800322	
362	-8.589249	-8.589249	-10.280780	-10.280780	-18.137848	-18.137848	
363	-8.793521	-8.793521	-10.348393	-10.348393	-18.463700	-18.463700	
364	-8.990046	-8.990046	-10.412222	-10.412222	-18.777451	-18.777451	
365	-9.178586	-9.178586	-10.472348	-10.472348	-19.078687	-19.078687	
366	-9.358911	-9.358911	-10.528853	-10.528853	-19.367009	-19.367009	
367	-9.530802	-9.530802	-10.581813	-10.581813	-19.642033	-19.642033	
368	-9.694046	-9.694046	-10.631304	-10.631304	-19.903393	-19.903393	
369	-9.848443	-9.848443	-10.677399	-10.677399	-20.150738	-20.150738	
370	-9.993801	-9.993801	-10.720168	-10.720168	-20.383736	-20.383736	
371	-10.129942	-10.129942	-10.759678	-10.759678	-20.602073	-20.602073	
372	-10.256695	-10.256695	-10.795992	-10.795992	-20.805454	-20.805454	
373	-10.373902	-10.373902	-10.829171	-10.829171	-20.993603	-20.993603	
374	-10.481418	-10.481418	-10.859270	-10.859270	-21.166264	-21.166264	
375	-10.579106	-10.579106	-10.886341	-10.886341	-21.323202	-21.323202	
376	-10.666845	-10.666845	-10.910431	-10.910431	-21.464203	-21.464203	
377	-10.744525	-10.744525	-10.931584	-10.931584	-21.589074	-21.589074	
378	-10.812046	-10.812046	-10.949837	-10.949837	-21.697645	-21.697645	
379	-10.869325	-10.869325	-10.965225	-10.965225	-21.789766	-21.789766	
380	-10.916288	-10.916288	-10.977776	-10.977776	-21.865311	-21.865311	
381	-10.952877	-10.952877	-10.987513	-10.987513	-21.924177	-21.924177	
382	-10.979046	-10.979046	-10.994454	-10.994454	-21.966281	-21.966281	
383	-10.994760	-10.994760	-10.998614	-10.998614	-21.991567	-21.991567	
384	-11.000000	-11.000000	-11.000000	-11.000000	-22.000000	-22.000000	
